"kode","nama","tanggal_expired","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"52","BRALIFEX PLUS TM","1/30/2026","FLS","TM","BIASA","56.888","16","0","11","54.168","0:00","6:00"
"53","BRAXIDIN","10/30/2026","TABLET","TABLET","PSIKOTROPIKA","1.443","25","0","25","1.332","0:00","832:00:00"
"54","BREATHY NASAL SPRAY","8/30/2026","FLS","NASAL DROP","BIASA","88.8","16","0","11","41.625","0:00","1:00"
"55","CAL-95","9/30/2026","TABLET","ORAL","BIASA","7.215","16","0","11","6.771","0:00","175:00:00"
"56","CANDESARTAN 8MG","9/30/2026","TABLET","TABLET","BIASA","415","25","0","11","4.995","0:00","420:00:00"
"57","CARDICAP 10MG","1/30/2028","TABLET","TABLET","BIASA","12.321","16","0","11","11.655","0:00","90:00:00"
"58","CARDICAP 5MG","4/30/2026","TABLET","TABLET","BIASA","7.104","16","0","11","6.716","0:00","70:00:00"
"59","CEFACEF 100MG","2/28/2026","KAPSULUL","TABLET","BIASA","23.532","16","0","11","22.311","0:00","52:00:00"
"60","CEFILA 100MG","7/30/2026","KAPSULUL","TABLET","BIASA","25.53","16","0","11","23.31","0:00","35:00:00"
"61","CEFILA DROP (DS)","10/30/2026","FLS","SYR","BIASA","105.45","16","0","11","97.125","0:00","7:00"
"62","CEFSPAN 100MG","","KAPSULUL","TABLET","BIASA","0","16","29.045","11","29.045","0:00","0:00"
"63","CELESTAMINE 30*S","","TABLET","TABLET","BIASA","0","16","3.963","11","3.963","0:00","0:00"
"64","CENDO STATROL EO","","TUBE","SM","BIASA","0","16","20.075","11","20.075","0:00","0:00"
"65","CENDO TGF TABLET","","TABLET","TABLET","BIASA","0","16","5.821","11","5.821","0:00","0:00"
"66","CENDO TIMOL 0,5%","","FLS","TM","BIASA","0","16","53.003","11","53.003","0:00","0:00"
"67","CENDO TIMOL 0,25%","4/30/2025","FLS","TM","BIASA","0","16","0","11","33.855","0:00","3:00"
"68","CENDO TOBRO MDS","","FLS","TM","BIASA","0","16","21.229","11","21.229","0:00","0:00"
"69","CENDO TOBROSON 5ML","","FLS","TM","BIASA","0","16","51.338","11","51.338","0:00","0:00"
"70","CENDO TOBROSON MDS","","STRIP","TM","BIASA","0","16","32.19","11","32.19","0:00","0:00"
"71","CENDO TONOR 0,5% MDS","","STRIP","TM","BIASA","0","16","42.291","11","42.291","0:00","0:00"
"72","CENDO TROPIN 0.5%","","FLS","TM","BIASA","0","16","12.488","11","12.488","0:00","0:00"
"73","CENDO TROPIN 1%","5/30/2025","FLS","TM","BIASA","13.875","16","0","11","13.875","0:00","1:00"
"74","CENDO ULCORI MDS","","STRIP","TM","BIASA","0","16","21.784","11","21.784","0:00","0:00"
"75","CENDO VASACON 15ML","","FLS","TM","BIASA","0","16","17.875","11","17.875","0:00","0:00"
"76","CENDO VASACON A 15ML","","FLS","TM","BIASA","0","16","24.837","11","24.837","0:00","0:00"
"77","CENDO VERNACEL MDS","","STRIP","TM","BIASA","0","16","22.825","11","22.825","0:00","0:00"
"78","CENDO VITROLENTA 5ML","","FLS","TM","BIASA","0","16","36.353","11","36.353","0:00","0:00"
"79","CENDO VITROLENTA MDS","","STRIP","TM","BIASA","0","16","31.488","11","31.488","0:00","0:00"
"80","CENDO XITROL ED","8/30/2026","FLS","TM","BIASA","30.248","16","0","11","30.248","0:00","2:00"
"81","CENDO XITROL EO","6/30/2027","TUBE","SM","BIASA","39.822","16","39.822","11","39.822","0:00","2:00"
"82","CENDO XITROL MDS","","STRIP","TM","BIASA","0","16","27.057","11","27.057","0:00","0:00"
"83","CENDO ZINC PRIMA 5ML","","FLS","TM","BIASA","0","16","14.58","11","14.58","0:00","0:00"
"84","CENTABLETIO GEL 20","","TUBE","SLP","BIASA","0","16","26.862","11","26.862","0:00","0:00"
"85","CHOLVASTIN 20MG","11/30/2025","TABLET","ORAL","BIASA","12.71","16","0","11","12.099","0:00","75:00:00"
"86","CIFLOS 500","8/30/2025","TABLET","TABLET","BIASA","14.985","16","0","11","14.985","0:00","5:00"
"87","CINOLON CREAM","","TUBE","SLP","BIASA","0","16","19.092","11","19.092","0:00","0:00"
"88","CIPRALEX 10MG","","TABLET","TABLET","BIASA","0","20","20.625","20","20.625","0:00","0:00"
"89","CIPREC 500MG","2/28/2027","TABLET","TABLET","BIASA","16.095","16","0","11","15.263","0:00","3:00"
"90","CLANEKSI DRY SYRUP","3/30/2026","FLS","SYR","BIASA","64.991","16","0","11","61.827","0:00","3:00"
"91","CLINJOS 150MG","3/30/2026","TABLET","TABLET","BIASA","3.885","16","0","11","3.885","0:00","92:00:00"
"92","CLINJOS 300MG","8/30/2026","TABLET","TABLET","BIASA","7.493","16","0","11","7.493","0:00","45:00:00"
"93","CLOBAZAM 10MG","","TABLET","TABLET","PSIKOTROPIKA","0","22","1.045","21","1.045","0:00","0:00"
"94","CLOGIN 75MG","1/30/2027","TABLET","TABLET","BIASA","22.2","16","0","11","21.562","0:00","100:00:00"
"95","COBAZYM 1000","7/30/2027","KAPSULUL","TABLET","BIASA","5.856","16","0","11","5.55","0:00","75:00:00"
"96","COBAZYM 3000","","KAPSULUL","TABLET","BIASA","0","16","12.821","11","12.821","0:00","0:00"
"97","CORTIDEX TABLET","","TABLET","TABLET","BIASA","0","16","342","11","342","0:00","0:00"
"98","COTTEN LICAPS 30*S","","TABLET","TABLET","BIASA","0","16","6.875","11","6.875","0:00","0:00"
"99","CRAVOX 500MG","5/30/2028","TABLET","TABLET","BIASA","49.95","16","0","11","44.4","0:00","1:00"
"100","DANALGIN TABLET","","TABLET","TABLET","PSIKOTROPIKA","0","22","1.155","21","1.155","0:00","0:00"
"101","DAY CAL TABLET","","TABLET","TABLET","BIASA","0","16","2.008","11","2.008","0:00","0:00"
"102","DEOLIT KAPSULUL","7/30/2026","KAPSULUL","ORAL","BIASA","9.435","16","0","11","9.435","0:00","55:00:00"
"103","DEPTRAL 50MG TABLETLET","","TABLET","TABLET","BIASA","0","12","12.1","11","12.1","0:00","0:00"
"104","DIGENTA CREAM 10GR","","TUBE","SLP","BIASA","0","16","109.89","11","109.89","0:00","0:00"
"105","DILMEN 60MG","","TABLET","TABLET","BIASA","0","16","1.221","11","1.221","0:00","0:00"
"106","DIOSTE","6/30/2026","TABLET","TABLET","BIASA","12.21","16","0","11","12.21","0:00","185:00:00"
"107","DIPROSALIC SALEP KEC","","TUBE","SLP","BIASA","0","16","88.512","11","88.512","0:00","0:00"
"108","DOM SYRUP","","FLS","SYR","BIASA","0","16","50.6","11","50.6","0:00","0:00"
"109","DOM 10MG","2/28/2025","TABLET","ORAL","BIASA","4.995","16","0","11","4.662","0:00","1:00"
"110","DOME 10MG","","TABLET","TABLET","BIASA","0","16","3.08","11","3.08","0:00","0:00"
"111","DORES 5MG","","TABLET","TABLET","BIASA","0","16","3.476","11","3.476","0:00","0:00"
"112","ELKANA CL 120ML","8/31/2026","FLS","SYR","BIASA","61.161","16","0","11","58.22","0:00","4:00"
"113","ELKANA SYR","","FLS","SYR","BIASA","0","16","26.307","11","26.307","0:00","0:00"
"114","ELKANA TABLETLET","5/30/2026","TABLET","TABLET","BIASA","999","16","0","11","944","0:00","5:00"
"115","ELOCON CR 5GR","","TUBE","SLP","BIASA","0","16","70.95","11","70.95","0:00","0:00"
"116","EPATIN","3/30/2025","KAPSUL","KAPSUL","BIASA","4.995","16","0","11","4.995","0:00","27:00:00"
"117","EPEXOL 30MG","12/30/2025","TABLET","TABLET","BIASA","1.027","16","0","11","973","0:00","81:00:00"
"118","EPEXOL SYR","","FLS","SYR","BIASA","0","16","20.202","11","20.202","0:00","0:00"
"119","ERICAF TABLETLET","10/30/2025","TABLET","TABLET","BIASA","6.26","16","0","11","6.26","0:00","208:00:00"
"120","ERYSANBE CHEW 200MG","6/30/2026","TABLET","TABLET","BIASA","2.22","16","0","11","2.054","0:00","421:00:00"
"121","ERYSANBE DRY SYR","","FLS","SYR","BIASA","0","16","28.583","11","28.583","0:00","0:00"
"122","ESCOVIT","12/30/2025","TABLET","TABLET","BIASA","10.878","16","0","11","10.268","0:00","94:00:00"
"123","ESPERSON 0.25% 5GRAM","","TUBE","SLP","BIASA","0","16","58.408","11","58.408","0:00","0:00"
"124","ETUROL","1/30/2026","TABLET","TABLET","BIASA","6.66","16","0","11","6.105","0:00","165:00:00"
"125","EXAFLAM 25","","TABLET","TABLET","BIASA","0","16","1.998","11","1.998","0:00","0:00"
"126","EXAFLAM 50","","TABLET","TABLET","BIASA","0","16","3.108","11","3.108","0:00","0:00"
"127","EXLUTON LIMAS","","STRIP","TABLET","BIASA","0","16","25.6","11","25.6","0:00","0:00"
"128","EYEBRIGHT","11/30/2025","TABLET","TABLET","BIASA","6.105","16","0","11","6.105","0:00","30:00:00"
"129","EYEVIT SYR 60ML","","FLS","SYR","BIASA","0","16","61.05","11","61.05","0:00","0:00"
"130","EYEVIT TABLET","7/30/2025","TABLET","ORAL","BIASA","4.995","16","0","11","4.995","0:00","39:00:00"
"131","EZYGARD FORTE TABLET","","TABLET","TABLET","BIASA","0","16","7.04","11","7.04","0:00","0:00"
"132","EZYGARD SYR 60ML","","FLS","SYR","BIASA","0","16","69.3","11","69.3","0:00","0:00"
"133","FAKTU SUPPO","3/30/2027","PC","SUPPO","BIASA","9.99","16","0","11","8.325","0:00","10:00"
"134","FEMISIC 500MG","7/30/2026","TABLET","TABLET","BIASA","1.665","16","0","11","1.554","0:00","339:00:00"
"135","FENOLIP 100MG","","TABLET","TABLET","BIASA","0","16","4.4","11","4.4","0:00","0:00"
"136","FENOLIP 300MG","","TABLET","TABLET","BIASA","0","16","11","11","11","0:00","0:00"
"137","FEROSPAT EFF","","TUBE","EFF","BIASA","0","16","83.25","11","83.25","0:00","0:00"
"138","FLAGYL FORTE 500MG","","TABLET","TABLET","BIASA","0","16","8.075","11","8.075","0:00","0:00"
"139","FLAMAR GEL 20GR","","TUBE","SLP","BIASA","0","16","19.092","11","19.092","0:00","0:00"
"140","FLAMAR 25MG","1/30/2026","TABLET","ORAL","BIASA","1.027","16","0","11","972","0:00","79:00:00"
"141","FLAMAR 50MG","9/30/2016","TABLET","ORAL","BIASA","2.22","16","0","11","2.109","0:00","562:00:00"
"142","FLAMAR TM","","FLS","TM","BIASA","0","16","43.901","11","43.901","0:00","0:00"
"143","FLEET ENEMA","","FLS","ENEMA","BIASA","0","16","108.225","11","108.225","0:00","0:00"
"144","FLORAGYN KAPSULUL","12/30/2025","TABLET","TABLET","BIASA","16.65","16","0","11","16.095","0:00","65:00:00"
"145","FLOXACAP 500MG","3/30/2025","TABLET","ORAL","BIASA","42.513","16","0","11","40.404","0:00","59:00:00"
"146","FOLAPLUS","10/30/2026","TABLET","ORAL","BIASA","944","16","0","11","944","0:00","423:00:00"
"147","FORBETES 850MG","9/30/2025","TABLET","TABLET","BIASA","1.332","16","0","11","1.221","0:00","140:00:00"
"148","FORMYCO CREAM","5/30/2025","TUBE","SLP","BIASA","22.644","16","0","11","21.534","0:00","2:00"
"149","FORUMEN TTS TLG","4/30/2027","FL","TT","BIASA","32.079","16","0","11","30.525","0:00","3:00"
"150","FRIXITAS 1MG","","TABLET","TABLET","PSIKOTROPIKA","5.328","25","0","25","4.272","0:00","0:00"
"151","FUCOBAC 50MG","","TABLET","TABLET","BIASA","0","16","8.325","11","8.325","0:00","0:00"
"152","FULADIC CR 5GR","","TUBE","SLP","BIASA","0","16","61.05","11","61.05","0:00","0:00"
"153","FUSON CR 5GR","","TUBE","SLP","BIASA","0","16","59.94","11","59.94","0:00","0:00"
"154","GABBRYL 250MG TABLET","","TABLET","TABLET","BIASA","0","16","4.584","11","4.584","0:00","0:00"
"155","GALFLUX","","TABLET","TABLET","BIASA","0","16","4.29","11","4.29","0:00","0:00"
"156","GALVUS 50MG","2/28/2027","TABLET","TABLET","BIASA","8.621","16","0","11","8.411","0:00","162:00:00"
"157","GASFAMIN 20MG","","TABLET","TABLET","BIASA","0","16","3.3","11","3.3","0:00","0:00"
"158","GASFAMIN 40MG","","TABLET","TABLET","BIASA","0","16","4.95","11","4.95","0:00","0:00"
"159","GAVISTAL 10MG","7/30/2026","TABLET","TABLET","BIASA","500","16","0","11","495","0:00","217:00:00"
"160","GITAS PLUS","7/30/2026","TABLET","TABLET","BIASA","8.45","16","0","11","8.048","0:00","95:00:00"
"161","GLAUSETA","10/30/2026","TABLET","TABLET","BIASA","5.354","16","0","11","5.273","0:00","112:00:00"
"162","GLIMEPIRIDE 1MG","3/30/2027","TABLET","ORAL","BIASA","767","16","0","11","767","0:00","33:00:00"
"163","GLISODIN","","KAPSULUL","TABLET","BIASA","0","16","8.88","11","8.88","0:00","0:00"
"164","GLUCOBAY 100MG","","TABLET","TABLET","BIASA","0","16","3.291","11","3.291","0:00","0:00"
"165","GLUCODEX 80MG","6/30/2025","TABLET","TABLET","BIASA","600","16","0","11","589","0:00","141:00:00"
"166","GOVOTIL 5MG","9/30/2027","TABLET","TABLET","BIASA","3.552","20","0","20","3.552","0:00","807:00:00"
"167","GRATIZIN 5MG","1/30/2025","TABLET","TABLET","BIASA","5.717","16","0","11","5.439","0:00","467:00:00"
"168","GUARPOSID 5MG","3/31/2026","TABLET","TABLET","BIASA","3.885","16","0","11","3.885","0:00","331:00:00"
"169","HARNAL D 0,2MG","7/30/2025","TABLET","TABLET","BIASA","17.55","16","0","11","17.55","0:00","42:00:00"
"170","HEPATOSOL 185GR","","BOX","SUSU","BIASA","0","16","87.45","11","87.45","0:00","0:00"
"171","HEPTASAN 4MG","10/30/2026","TABLET","ORAL","BIASA","0","16","0","11","444","0:00","261:00:00"
"172","HERBALACTA BTL","","TABLET","TABLET","BIASA","0","16","1.634","11","1.634","0:00","0:00"
"173","HEXYMER 2MG","11/30/2026","TABLET","TABLET","BIASA","472","20","0","20","428","0:00","1,862.00"
"174","HI-BONE 300 KNG","11/30/2026","TABLET","TABLET","BIASA","5.55","16","0","11","4.884","0:00","36:00:00"
"175","HI-BONE 600 BIRU","9/30/2026","TABLET","TABLET","BIASA","6.66","16","0","11","5.994","0:00","144:00:00"
"176","HISTAPAN 50MG","4/30/2025","TABLET","ORAL","BIASA","861","16","0","11","805","0:00","213:00:00"
"177","IFLAZ TABLETLET 16MG","","TABLET","TABLET","BIASA","0","16","5.867","11","5.867","0:00","0:00"
"178","IFLAZ TABLETLET 4MG","","TABLET","TABLET","BIASA","0","16","2.002","11","2.002","0:00","0:00"
"179","IMBOOST KIDS SYR 60ML","8/31/2026","FLS","SYR","BIASA","37.185","16","0","11","35.409","0:00","1:00"
"180","IMUNOS PLUS SYRUP","3/31/2026","FLS","SYR","BIASA","0","16","0","11","109.89","0:00","6:00"
"181","IMUNOS PLUS TABLET","7/30/2026","TABLET","TABLET","BIASA","13.32","16","0","11","12.21","0:00","12:00"
"182","IMUNOS SYRUP","7/31/2026","FLS","SYR","BIASA","83.25","16","0","11","77.7","0:00","11:00"
"183","IMUNOS TABLET","5/30/2026","TABLET","TABLET","BIASA","11.1","16","0","11","9.768","0:00","97:00:00"
"184","IMUNVIT PLUS TABLET","","TABLET","TABLET","BIASA","0","16","9.13","11","9.13","0:00","0:00"
"185","INERSON 15GR","4/30/2026","TUBE","SLP","BIASA","110.168","16","0","11","104.895","0:00","3:00"
"186","INTERHISTIN SYRUP","","FLS","SYR","BIASA","0","16","50.505","11","50.505","0:00","0:00"
"187","INTERHISTIN TABLET","11/30/2025","TABLET","TABLET","BIASA","1.133","16","0","11","1.077","0:00","133:00:00"
"188","INTERNOLOL 50","2/28/2026","TABLET","TABLET","BIASA","4.662","16","0","11","4.44","0:00","170:00:00"
"189","INTERPRIL 10","7/30/2027","TABLET","TABLET","BIASA","1.332","16","0","11","6.411","0:00","75:00:00"
"190","INTERPRIL 5","12/30/2025","TABLET","TABLET","BIASA","4.341","16","0","11","4.341","0:00","108:00:00"
"191","INTERVASK 10MG","2/28/2025","TABLET","TABLET","BIASA","16.817","16","0","11","16.817","0:00","180:00:00"
"192","INTUNAL PER STRIP","7/30/2027","TABLET","TABLET","BIASA","2.553","16","0","11","2.53","0:00","92:00:00"
"193","INVOMIT 4MG","12/30/2025","TABLET","TABLET","BIASA","23.019","16","0","11","21.923","0:00","104:00:00"
"194","IRVASK 300MG","10/30/2025","TABLET","TABLET","BIASA","20.147","16","0","11","17.76","0:00","78:00:00"
"195","ISOFEM","","TABLET","TABLET","BIASA","0","16","3.85","11","3.85","0:00","0:00"
"196","ISORIC 100MG","7/30/2025","TABLET","TABLET","BIASA","2.886","16","0","11","2.748","0:00","157:00:00"
"197","ISORIC 300MG","6/30/2026","TABLET","TABLET","BIASA","5.439","16","0","11","5.162","0:00","396:00:00"
"198","ISPRINOL 500MG","","TABLET","TABLET","BIASA","0","16","10.927","11","10.927","0:00","0:00"
"199","ITZOL 100MG","","TABLET","TABLET","BIASA","0","16","27.75","11","27.75","0:00","0:00"
"200","KALIPAR TABLET","","TABLET","TABLET","BIASA","0","16","700","11","700","0:00","0:00"
"201","KALMECO 500MCG","1/30/2027","TABLET","Oral","BIASA","3.885","16","0","11","3.719","0:00","186:00:00"
"202","KALXETIN 20MG","","TABLET","TABLET","BIASA","0","20","9.435","20","9.435","0:00","0:00"
"203","LACOLDIN SYRUP","","FLS","SYR","BIASA","0","16","26.64","11","26.64","0:00","0:00"
"204","LACOLDIN TABLETLET","","TABLET","TABLET","BIASA","0","16","2.442","11","2.442","0:00","0:00"
"205","LACTO B","","SACHET","PULV","BIASA","0","16","8.654","11","8.654","0:00","0:00"
"206","LACTRIN","","TABLET","TABLET","BIASA","0","16","5.55","11","5.55","0:00","0:00"
"207","LAFALOS CREAM 20GRAM","11/30/2026","TUBE","SLP","BIASA","15.151","16","0","11","13.764","0:00","1:00"
"208","LAGESIL SYR","","FLS","SYR","BIASA","0","16","33.3","11","33.3","0:00","0:00"
"209","LAGESIL TABLETLET","","TABLET","TABLET","BIASA","0","16","1.943","11","1.943","0:00","0:00"
"210","LAMESON 16MG","6/30/2027","TABLETLET","TABLET","BIASA","11.655","16","0","11","11.1","0:00","366:00:00"
"211","LAMESON 4MG","3/30/2026","TABLETLET","TABLET","BIASA","4.995","16","0","11","4.718","0:00","326:00:00"
"212","LAMESON 8MG","9/30/2027","TABLETLET","TABLET","BIASA","8.325","16","0","11","7.77","0:00","168:00:00"
"213","LANCID 30MG","","TABLET","TABLET","BIASA","0","16","20.757","11","20.757","0:00","0:00"
"214","LAPIBAL 500MCG","9/30/2028","KAPSULUL","ORAL","BIASA","3.33","16","0","11","3.053","0:00","660:00:00"
"215","LAPIBION","","TABLET","TABLET","BIASA","0","16","1.832","11","1.832","0:00","0:00"
"216","LAPIBROZ 600","","TABLET","TABLET","BIASA","0","16","3.96","11","3.96","0:00","0:00"
"217","LAPICEF DS 125ML","1/30/2026","FLS","DS","BIASA","61.05","16","0","11","61.05","0:00","8:00"
"218","LAPICEF DS 250ML","","FLS","DS","BIASA","0","16","91.575","11","91.575","0:00","0:00"
"219","LAPICEF 500MG","5/30/2029","KAPSULUL","ORAL","BIASA","13.32","16","0","11","12.765","0:00","169:00:00"
"220","LAPIFED EXP 60ML","","FLS","SYR","BIASA","0","16","33.3","11","33.3","0:00","0:00"
"221","LAPIFED SYR 60ML","","FLS","SYR","BIASA","32.19","16","0","11","32.19","0:00","1:00"
"222","LAPIFED TABLET","9/30/2026","TABLETLET","TABLET","BIASA","3.885","16","0","11","3.608","0:00","461:00:00"
"223","LAPIFLOX 500 MG","1/30/2026","TABLETLET","TABLET","BIASA","17.76","16","0","11","16.65","0:00","60:00:00"
"224","LAPIMOX SYR F 250MG","","FLS","SYR","BIASA","0","16","44.4","11","44.4","0:00","0:00"
"225","LAPIMOX TABLET 500MG","","TABLET","TABLET","BIASA","0","16","3.675","11","3.675","0:00","0:00"
"226","LAPISTAN 500","","TABLET","TABLET","BIASA","0","16","1.54","11","1.54","0:00","0:00"
"227","LASAL EXP SYRUP 100ML","5/31/2027","FLS","SYR","BIASA","49.95","16","0","11","47.175","0:00","1:00"
"228","LASAL 2MG","7/30/2025","KAPSULUL","KAPSULUL","BIASA","0","16","1.943","11","1.776","0:00","300:00:00"
"229","LASAL SYRUP 100ML","9/30/2027","FLS","SYR","BIASA","38.85","16","0","11","35.52","0:00","2:00"
"230","LETONAL 25 MG","","TABLET","TABLET","BIASA","0","16","1.65","11","1.65","0:00","0:00"
"231","LEVAZIDE","5/31/2026","TABLET","TABLET","BIASA","7.585","20","0","20","7.067","0:00","2,651.00"
"232","LEVOCIN TM","","FLS","TM","BIASA","0","16","87.135","11","87.135","0:00","0:00"
"233","LIPOFOOD KAP","","TABLET","TABLET","BIASA","0","16","5.225","11","5.225","0:00","0:00"
"234","LIPROQY","7/31/2026","TABLET","TABLET","BIASA","0","16","0","11","8.769","0:00","434:00:00"
"235","LORAN 10MG","7/30/2026","TABLETLET","TABLET","BIASA","5.883","16","0","11","5.883","0:00","36:00:00"
"236","LOTASBAT CREAM 10G","4/30/2027","TUBE","SLP","BIASA","69.93","16","0","11","66.6","0:00","4:00"
"237","LOTASBAT OINT 10G","","TUBE","SLP","BIASA","0","16","66.6","11","66.6","0:00","0:00"
"238","LQ-500 TABLET","","TABLET","TABLET","BIASA","0","12","34.1","11","34.1","0:00","0:00"
"239","LUBIRE KAPSULUL","","KAPSULUL","TABLET","BIASA","0","16","5.94","11","5.94","0:00","0:00"
"240","LUSANOC CREAM 2% 10 GR","","TUBE","SLP","BIASA","0","16","17.6","11","17.6","0:00","0:00"
"241","LYCOQ KAPSULUL","","TABLET","TABLET","BIASA","0","16","5.335","11","5.335","0:00","0:00"
