nama,nomor_batch,tanggal_expired,isi1,satuan,jenis,kelompok,harga_beli,up_a,harga_a,up_b,harga_b,stok_awal,stok_akhir
BRALIFEX PLUS TM,,30/01/2026,,FLS,TM,BIASA,56888,16,0,11,54168,0,6
BRAXIDIN,,30/10/2026,CHLORDIAZEPOXIDE HCL,TAB,TAB,PSIKOTROPIKA,1443,25,0,25,1332,0,832
BREATHY NASAL SPRAY,,30/08/2026,"NATRIUM CHLORIDE 6,5 ML",FLS,NASAL DROP,BIASA,88800,16,0,11,41625,0,1
CAL-95,,30/09/2026,,TAB,ORAL,BIASA,7215,16,0,11,6771,0,175
CANDESARTAN 8MG,,30/09/2026,,TAB,TAB,BIASA,415,25,0,11,4995,0,420
CARDICAP 10MG,,30/01/2028,AMLODIPINE,TAB,TAB,BIASA,12321,16,0,11,11655,0,90
CARDICAP 5MG,,30/04/2026,AMLODIPINE,TAB,TAB,BIASA,7104,16,0,11,6716,0,70
CEFACEF 100MG,,28/02/2026,CEFIXIME,KAPSUL,TAB,BIASA,23532,16,0,11,22311,0,52
CEFILA 100MG,,30/07/2026,CEFIXIM,KAPSUL,TAB,BIASA,25530,16,0,11,23310,0,35
CEFILA DROP (DS),,30/10/2026,CEFIXIM,FLS,SYR,BIASA,105450,16,0,11,97125,0,7
CEFSPAN 100MG,,,,KAPSUL,TAB,BIASA,0,16,29045,11,29045,0,0
CELESTAMINE 30*S,,,,TAB,TAB,BIASA,0,16,3963,11,3963,0,0
CENDO STATROL EO,,,,TUBE,SM,BIASA,0,16,20075,11,20075,0,0
CENDO TGF TAB,,,,TAB,TAB,BIASA,0,16,5821,11,5821,0,0
"CENDO TIMOL 0,5%",,,,FLS,TM,BIASA,0,16,53003,11,53003,0,0
"CENDO TIMOL 0,25%",,30/04/2025,,FLS,TM,BIASA,0,16,0,11,33855,0,3
CENDO TOBRO MDS,,,,FLS,TM,BIASA,0,16,21229,11,21229,0,0
CENDO TOBROSON 5ML,,,,FLS,TM,BIASA,0,16,51338,11,51338,0,0
CENDO TOBROSON MDS,,,,STRIP,TM,BIASA,0,16,32190,11,32190,0,0
"CENDO TONOR 0,5% MDS",,,,STRIP,TM,BIASA,0,16,42291,11,42291,0,0
CENDO TROPIN 0.5%,,,,FLS,TM,BIASA,0,16,12488,11,12488,0,0
CENDO TROPIN 1%,,30/05/2025,ATROPINE SULFATE,FLS,TM,BIASA,13875,16,0,11,13875,0,1
CENDO ULCORI MDS,,,,STRIP,TM,BIASA,0,16,21784,11,21784,0,0
CENDO VASACON 15ML,,,,FLS,TM,BIASA,0,16,17875,11,17875,0,0
CENDO VASACON A 15ML,,,,FLS,TM,BIASA,0,16,24837,11,24837,0,0
CENDO VERNACEL MDS,,,,STRIP,TM,BIASA,0,16,22825,11,22825,0,0
CENDO VITROLENTA 5ML,,,,FLS,TM,BIASA,0,16,36353,11,36353,0,0
CENDO VITROLENTA MDS,,,,STRIP,TM,BIASA,0,16,31488,11,31488,0,0
CENDO XITROL ED,,30/08/2026,,FLS,TM,BIASA,30248,16,0,11,30248,0,2
CENDO XITROL EO,,30/06/2027,,TUBE,SM,BIASA,39822,16,39822,11,39822,0,2
CENDO XITROL MDS,,,,STRIP,TM,BIASA,0,16,27057,11,27057,0,0
CENDO ZINC PRIMA 5ML,,,,FLS,TM,BIASA,0,16,14580,11,14580,0,0
CENTABIO GEL 20,,,,TUBE,SLP,BIASA,0,16,26862,11,26862,0,0
CHOLVASTIN 20MG,,30/11/2025,,TAB,ORAL,BIASA,12710,16,0,11,12099,0,75
CIFLOS 500,,30/08/2025,CIPROFLOXACIN 500MG,TAB,TAB,BIASA,14985,16,0,11,14985,0,5
CINOLON CREAM,,,,TUBE,SLP,BIASA,0,16,19092,11,19092,0,0
CIPRALEX 10MG,,,,TAB,TAB,BIASA,0,20,20625,20,20625,0,0
CIPREC 500MG,,28/02/2027,,TAB,TAB,BIASA,16095,16,0,11,15263,0,3
CLANEKSI DRY SYRUP,,30/03/2026,,FLS,SYR,BIASA,64991,16,0,11,61827,0,3
CLINJOS 150MG,,30/03/2026,CLINDAMICIN,TAB,TAB,BIASA,3885,16,0,11,3885,0,92
CLINJOS 300MG,,30/08/2026,CLINDAMICIN,TAB,TAB,BIASA,7493,16,0,11,7493,0,45
CLOBAZAM 10MG,,,,TAB,TAB,PSIKOTROPIKA,0,22,1045,21,1045,0,0
CLOGIN 75MG,,30/01/2027,CLOPIDOGREL,TAB,TAB,BIASA,22200,16,0,11,21562,0,100
COBAZYM 1000,,30/07/2027,,KAPSUL,TAB,BIASA,5856,16,0,11,5550,0,75
COBAZYM 3000,,,,KAPSUL,TAB,BIASA,0,16,12821,11,12821,0,0
CORTIDEX TAB,,,,TAB,TAB,BIASA,0,16,342,11,342,0,0
COTTEN LICAPS 30*S,,,,TAB,TAB,BIASA,0,16,6875,11,6875,0,0
CRAVOX 500MG,,30/05/2028,LEVOFLOXACIN 500MG,TAB,TAB,BIASA,49950,16,0,11,44400,0,1
DANALGIN TAB,,,"DIAZEPAM, METHAMPYRON",TAB,TAB,PSIKOTROPIKA,0,22,1155,21,1155,0,0
DAY CAL TAB,,,,TAB,TAB,BIASA,0,16,2008,11,2008,0,0
DEOLIT KAPSUL,,30/07/2026,,KAPSUL,ORAL,BIASA,9435,16,0,11,9435,0,55
DEPTRAL 50MG TABLET,,,,TAB,TAB,BIASA,0,12,12100,11,12100,0,0
DIGENTA CREAM 10GR,,,,TUBE,SLP,BIASA,0,16,109890,11,109890,0,0
DILMEN 60MG,,,,TAB,TAB,BIASA,0,16,1221,11,1221,0,0
DIOSTE,,30/06/2026,,TAB,TAB,BIASA,12210,16,0,11,12210,0,185
DIPROSALIC SALEP KEC,,,,TUBE,SLP,BIASA,0,16,88512,11,88512,0,0
DOM SYRUP,,,DOMPERIDON 10MG,FLS,SYR,BIASA,0,16,50600,11,50600,0,0
DOM 10MG,,28/02/2025,DOMPERIDON 10MG,TAB,ORAL,BIASA,4995,16,0,11,4662,0,1
DOME 10MG,,,,TAB,TAB,BIASA,0,16,3080,11,3080,0,0
DORES 5MG,,,HALOPERIDOL,TAB,TAB,BIASA,0,16,3476,11,3476,0,0
ELKANA CL 120ML,,31/08/2026,,FLS,SYR,BIASA,61161,16,0,11,58220,0,4
ELKANA SYR,,,,FLS,SYR,BIASA,0,16,26307,11,26307,0,0
ELKANA TABLET,,30/05/2026,,TAB,TAB,BIASA,999,16,0,11,944,0,5
ELOCON CR 5GR,,,,TUBE,SLP,BIASA,0,16,70950,11,70950,0,0
EPATIN,,30/03/2025,,KAPS,KAPS,BIASA,4995,16,0,11,4995,0,27
EPEXOL 30MG,,30/12/2025,,TAB,TAB,BIASA,1027,16,0,11,973,0,81
EPEXOL SYR,,,,FLS,SYR,BIASA,0,16,20202,11,20202,0,0
ERICAF TABLET,,30/10/2025,,TAB,TAB,BIASA,6260,16,0,11,6260,0,208
ERYSANBE CHEW 200MG,,30/06/2026,,TAB,TAB,BIASA,2220,16,0,11,2054,0,421
ERYSANBE DRY SYR,,,,FLS,SYR,BIASA,0,16,28583,11,28583,0,0
ESCOVIT,,30/12/2025,,TAB,TAB,BIASA,10878,16,0,11,10268,0,94
ESPERSON 0.25% 5GRAM,,,,TUBE,SLP,BIASA,0,16,58408,11,58408,0,0
ETUROL,,30/01/2026,,TAB,TAB,BIASA,6660,16,0,11,6105,0,165
EXAFLAM 25,,,KALIUM DIKLOFENAK,TAB,TAB,BIASA,0,16,1998,11,1998,0,0
EXAFLAM 50,,,KALIUM DIKLOFENAK,TAB,TAB,BIASA,0,16,3108,11,3108,0,0
EXLUTON LIMAS,,,,STRIP,TAB,BIASA,0,16,25600,11,25600,0,0
EYEBRIGHT,,30/11/2025,,TAB,TAB,BIASA,6105,16,0,11,6105,0,30
EYEVIT SYR 60ML,,,,FLS,SYR,BIASA,0,16,61050,11,61050,0,0
EYEVIT TAB,,30/07/2025,,TAB,ORAL,BIASA,4995,16,0,11,4995,0,39
EZYGARD FORTE TAB,,,,TAB,TAB,BIASA,0,16,7040,11,7040,0,0
EZYGARD SYR 60ML,,,,FLS,SYR,BIASA,0,16,69300,11,69300,0,0
FAKTU SUPPO,,30/03/2027,,BIJI,SUPPO,BIASA,9990,16,0,11,8325,0,10
FEMISIC 500MG,,30/07/2026,,TAB,TAB,BIASA,1665,16,0,11,1554,0,339
FENOLIP 100MG,,,,TAB,TAB,BIASA,0,16,4400,11,4400,0,0
FENOLIP 300MG,,,,TAB,TAB,BIASA,0,16,11000,11,11000,0,0
FEROSPAT EFF,,,,TUBE,EFF,BIASA,0,16,83250,11,83250,0,0
FLAGYL FORTE 500MG,,,,TAB,TAB,BIASA,0,16,8075,11,8075,0,0
FLAMAR GEL 20GR,,,,TUBE,SLP,BIASA,0,16,19092,11,19092,0,0
FLAMAR 25MG,,30/01/2026,,TAB,ORAL,BIASA,1027,16,0,11,972,0,79
FLAMAR 50MG,,30/09/2016,,TAB,ORAL,BIASA,2220,16,0,11,2109,0,562
FLAMAR TM,,,,FLS,TM,BIASA,0,16,43901,11,43901,0,0
FLEET ENEMA,,,,FLS,ENEMA,BIASA,0,16,108225,11,108225,0,0
FLORAGYN KAPSUL,,30/12/2025,,TAB,TAB,BIASA,16650,16,0,11,16095,0,65
FLOXACAP 500MG,,30/03/2025,,TAB,ORAL,BIASA,42513,16,0,11,40404,0,59
FOLAPLUS,,30/10/2026,,TAB,ORAL,BIASA,944,16,0,11,944,0,423
FORBETES 850MG,,30/09/2025,,TAB,TAB,BIASA,1332,16,0,11,1221,0,140
FORMYCO CREAM,,30/05/2025,KETOCONAZOLE,TUBE,SLP,BIASA,22644,16,0,11,21534,0,2
FORUMEN TTS TLG,,30/04/2027,DOCUSATE SODIUM,FL,TT,BIASA,32079,16,0,11,30525,0,3
FRIXITAS 1MG,,,ALPRAZOLAM 1 MG,TAB,TAB,PSIKOTROPIKA,5328,25,0,25,4272,0,0
FUCOBAC 50MG,,,,TAB,TAB,BIASA,0,16,8325,11,8325,0,0
FULADIC CR 5GR,,,ASAM FUSIDAT,TUBE,SLP,BIASA,0,16,61050,11,61050,0,0
FUSON CR 5GR,,,ASAM FUSIDAT,TUBE,SLP,BIASA,0,16,59940,11,59940,0,0
GABBRYL 250MG TAB,,,,TAB,TAB,BIASA,0,16,4584,11,4584,0,0
GALFLUX,,,DOMPERIDON 10MG,TAB,TAB,BIASA,0,16,4290,11,4290,0,0
GALVUS 50MG,,28/02/2027,,TAB,TAB,BIASA,8621,16,0,11,8411,0,162
GASFAMIN 20MG,,,,TAB,TAB,BIASA,0,16,3300,11,3300,0,0
GASFAMIN 40MG,,,,TAB,TAB,BIASA,0,16,4950,11,4950,0,0
GAVISTAL 10MG,,30/07/2026,,TAB,TAB,BIASA,500,16,0,11,495,0,217
GITAS PLUS,,30/07/2026,,TAB,TAB,BIASA,8450,16,0,11,8048,0,95
GLAUSETA,,30/10/2026,,TAB,TAB,BIASA,5354,16,0,11,5273,0,112
GLIMEPIRIDE 1MG,,30/03/2027,,TAB,ORAL,BIASA,767,16,0,11,767,0,33
GLISODIN,,,,KAPSUL,TAB,BIASA,0,16,8880,11,8880,0,0
GLUCOBAY 100MG,,,,TAB,TAB,BIASA,0,16,3291,11,3291,0,0
GLUCODEX 80MG,,30/06/2025,,TAB,TAB,BIASA,600,16,0,11,589,0,141
GOVOTIL 5MG,,30/09/2027,HALOPERIDOL 5,TAB,TAB,BIASA,3552,20,0,20,3552,0,807
GRATIZIN 5MG,,30/01/2025,FLUNARIZINE 5MG,TAB,TAB,BIASA,5717,16,0,11,5439,0,467
GUARPOSID 5MG,,31/03/2026,CISAPRIDE,TAB,TAB,BIASA,3885,16,0,11,3885,0,331
"HARNAL D 0,2MG",,30/07/2025,,TAB,TAB,BIASA,17550,16,0,11,17550,0,42
HEPATOSOL 185GR,,,,BOX,SUSU,BIASA,0,16,87450,11,87450,0,0
HEPTASAN 4MG,,30/10/2026,,TAB,ORAL,BIASA,0,16,0,11,444,0,261
HERBALACTA BTL,,,,TAB,TAB,BIASA,0,16,1634,11,1634,0,0
HEXYMER 2MG,,30/11/2026,TRIHEXYPHENIDIL,TAB,TAB,BIASA,472,20,0,20,428,0,1862
HI-BONE 300 KNG,,30/11/2026,,TAB,TAB,BIASA,5550,16,0,11,4884,0,36
HI-BONE 600 BIRU,,30/09/2026,,TAB,TAB,BIASA,6660,16,0,11,5994,0,144
HISTAPAN 50MG,,30/04/2025,,TAB,ORAL,BIASA,861,16,0,11,805,0,213
IFLAZ TABLET 16MG,,,,TAB,TAB,BIASA,0,16,5867,11,5867,0,0
IFLAZ TABLET 4MG,,,,TAB,TAB,BIASA,0,16,2002,11,2002,0,0
IMBOOST KIDS SYR 60ML,,31/08/2026,,FLS,SYR,BIASA,37185,16,0,11,35409,0,1
IMUNOS PLUS SYRUP,,31/03/2026,,FLS,SYR,BIASA,0,16,0,11,109890,0,6
IMUNOS PLUS TAB,,30/07/2026,,TAB,TAB,BIASA,13320,16,0,11,12210,0,12
IMUNOS SYRUP,,31/07/2026,,FLS,SYR,BIASA,83250,16,0,11,77700,0,11
IMUNOS TAB,,30/05/2026,,TAB,TAB,BIASA,11100,16,0,11,9768,0,97
IMUNVIT PLUS TAB,,,,TAB,TAB,BIASA,0,16,9130,11,9130,0,0
INERSON 15GR,,30/04/2026,DESOXIMETHASONE,TUBE,SLP,BIASA,110168,16,0,11,104895,0,3
INTERHISTIN SYRUP,,,,FLS,SYR,BIASA,0,16,50505,11,50505,0,0
INTERHISTIN TAB,,30/11/2025,,TAB,TAB,BIASA,1133,16,0,11,1077,0,133
INTERNOLOL 50,,28/02/2026,,TAB,TAB,BIASA,4662,16,0,11,4440,0,170
INTERPRIL 10,,30/07/2027,,TAB,TAB,BIASA,1332,16,0,11,6411,0,75
INTERPRIL 5,,30/12/2025,,TAB,TAB,BIASA,4341,16,0,11,4341,0,108
INTERVASK 10MG,,28/02/2025,,TAB,TAB,BIASA,16817,16,0,11,16817,0,180
INTUNAL PER STRIP,,30/07/2027,,TAB,TAB,BIASA,2553,16,0,11,2530,0,92
INVOMIT 4MG,,30/12/2025,,TAB,TAB,BIASA,23019,16,0,11,21923,0,104
IRVASK 300MG,,30/10/2025,,TAB,TAB,BIASA,20147,16,0,11,17760,0,78
ISOFEM,,,,TAB,TAB,BIASA,0,16,3850,11,3850,0,0
ISORIC 100MG,,30/07/2025,,TAB,TAB,BIASA,2886,16,0,11,2748,0,157
ISORIC 300MG,,30/06/2026,,TAB,TAB,BIASA,5439,16,0,11,5162,0,396
ISPRINOL 500MG,,,,TAB,TAB,BIASA,0,16,10927,11,10927,0,0
ITZOL 100MG,,,,TAB,TAB,BIASA,0,16,27750,11,27750,0,0
KALIPAR TAB,,,,TAB,TAB,BIASA,0,16,700,11,700,0,0
KALMECO 500MCG,,30/01/2027,,TAB,Oral,BIASA,3885,16,0,11,3719,0,186
KALXETIN 20MG,,,,TAB,TAB,BIASA,0,20,9435,20,9435,0,0
LACOLDIN SYRUP,,,,FLS,SYR,BIASA,0,16,26640,11,26640,0,0
LACOLDIN TABLET,,,,TAB,TAB,BIASA,0,16,2442,11,2442,0,0
LACTO B,,,,SACH,PULV,BIASA,0,16,8654,11,8654,0,0
LACTRIN,,,ERDOSTEIN,TAB,TAB,BIASA,0,16,5550,11,5550,0,0
LAFALOS CREAM 20GRAM,,30/11/2026,,TUBE,SLP,BIASA,15151,16,0,11,13764,0,1
LAGESIL SYR,,,,FLS,SYR,BIASA,0,16,33300,11,33300,0,0
LAGESIL TABLET,,,,TAB,TAB,BIASA,0,16,1943,11,1943,0,0
LAMESON 16MG,,30/06/2027,METHYLPREDNISOLONE 16MG,TABLET,TAB,BIASA,11655,16,0,11,11100,0,366
LAMESON 4MG,,30/03/2026,METHYLPREDNISOLONE 4MG,TABLET,TAB,BIASA,4995,16,0,11,4718,0,326
LAMESON 8MG,,30/09/2027,METHYLPREDNISOLONE 8MG,TABLET,TAB,BIASA,8325,16,0,11,7770,0,168
LANCID 30MG,,,,TAB,TAB,BIASA,0,16,20757,11,20757,0,0
LAPIBAL 500MCG,,30/09/2028,MECOBALAMIN,KAPSUL,ORAL,BIASA,3330,16,0,11,3053,0,660
LAPIBION,,,,TAB,TAB,BIASA,0,16,1832,11,1832,0,0
LAPIBROZ 600,,,GEMFIBROZIL,TAB,TAB,BIASA,0,16,3960,11,3960,0,0
LAPICEF DS 125ML,,30/01/2026,,FLS,DS,BIASA,61050,16,0,11,61050,0,8
LAPICEF DS 250ML,,,,FLS,DS,BIASA,0,16,91575,11,91575,0,0
LAPICEF 500MG,,30/05/2029,CEFADROXIL 500MG,KAPSUL,ORAL,BIASA,13320,16,0,11,12765,0,169
LAPIFED EXP 60ML,,,,FLS,SYR,BIASA,0,16,33300,11,33300,0,0
LAPIFED SYR 60ML,,,,FLS,SYR,BIASA,32190,16,0,11,32190,0,1
LAPIFED TAB,,30/09/2026,"PSEUDOEFDRIN 60MG,TRIPOLIDIN2,5MG",TABLET,TAB,BIASA,3885,16,0,11,3608,0,461
LAPIFLOX 500 MG,,30/01/2026,CIPROFLOXACIN 500MG,TABLET,TAB,BIASA,17760,16,0,11,16650,0,60
LAPIMOX SYR F 250MG,,,,FLS,SYR,BIASA,0,16,44400,11,44400,0,0
LAPIMOX TAB 500MG,,,,TAB,TAB,BIASA,0,16,3675,11,3675,0,0
LAPISTAN 500,,,,TAB,TAB,BIASA,0,16,1540,11,1540,0,0
LASAL EXP SYRUP 100ML,,31/05/2027,,FLS,SYR,BIASA,49950,16,0,11,47175,0,1
LASAL 2MG,,30/07/2025,SALBUTAMOL 2MG,KAPSUL,KAPSUL,BIASA,0,16,1943,11,1776,0,300
LASAL SYRUP 100ML,,30/09/2027,,FLS,SYR,BIASA,38850,16,0,11,35520,0,2
LETONAL 25 MG,,,,TAB,TAB,BIASA,0,16,1650,11,1650,0,0
LEVAZIDE,,31/05/2026,,TAB,TAB,BIASA,7585,20,0,20,7067,0,2651
LEVOCIN TM,,,,FLS,TM,BIASA,0,16,87135,11,87135,0,0
LIPOFOOD KAP,,,,TAB,TAB,BIASA,0,16,5225,11,5225,0,0
LIPROQY,,31/07/2026,,TAB,TAB,BIASA,0,16,0,11,8769,0,434
LORAN 10MG,,30/07/2026,LORATADIN 10MG,TABLET,TAB,BIASA,5883,16,0,11,5883,0,36
LOTASBAT CREAM 10G,,30/04/2027,,TUBE,SLP,BIASA,69930,16,0,11,66600,0,4
LOTASBAT OINT 10G,,,,TUBE,SLP,BIASA,0,16,66600,11,66600,0,0
LQ-500 TAB,,,,TAB,TAB,BIASA,0,12,34100,11,34100,0,0
LUBIRE KAPSUL,,,,KAPSUL,TAB,BIASA,0,16,5940,11,5940,0,0
LUSANOC CREAM 2% 10 GR,,,,TUBE,SLP,BIASA,0,16,17600,11,17600,0,0
LYCOQ KAPSUL,,,,TAB,TAB,BIASA,0,16,5335,11,5335,0,0
LYNORAL TAB,,,,TAB,TAB,BIASA,0,16,1699,11,1699,0,0
L-ZINC SYR,,31/07/2026,ZINC SULFAT,FLS,SYR,BIASA,48840,16,0,11,44400,0,5
MALTIRON PLUS,,30/06/2027,,TAB,TAB,BIASA,1665,16,0,11,1665,0,60
MALTIRON SYRUP 100ML,,31/08/2026,,FLS,SYR,BIASA,38850,16,0,11,38850,0,5
MARVELON LIMAS,,,,STRIP,TAB,BIASA,0,16,35394,11,35394,0,0
MATOFLAM TAB,,,,TAB,TAB,BIASA,0,16,7480,11,7480,0,0
MATOVIT TAB,,,,TAB,TAB,BIASA,0,16,4078,11,4078,0,0
MAXPRO SYRUP,,,,FLS,SYR,BIASA,0,16,91020,11,91020,0,0
MAXPRO 100MG,,30/09/2025,,TAB,TAB,BIASA,21090,16,0,11,21090,0,54
MECOLA,,30/12/2025,,TAB,TAB,BIASA,5273,16,0,11,4995,0,100
MEDERMA 20GRAM,,,,TUBE,SLP,BIASA,0,16,221445,11,193418,0,0
MEFINAL 250MG,,,,TAB,TAB,BIASA,0,16,722,11,722,0,0
MEFINAL 500MG,,30/08/2026,,TAB,TAB,BIASA,1665,16,0,11,1554,0,100
MEGABAL,,31/03/2027,,TAB,TAB,BIASA,2054,16,0,11,1943,0,718
MEGAZING,,30/11/2025,,TAB,TAB,BIASA,3885,16,0,11,3663,0,24
MELIDOX TAB,,30/08/2026,"CHLORDIAZEPOXIDE HCL, CLIDINIUM",TAB,TAB,PSIKOTROPIKA,1221,25,0,25,1221,0,913
MEMORAN 100 MG,,,,TAB,TAB,BIASA,0,16,7334,11,7334,0,0
MEMOREX KAPSUL,,,,KAPSUL,TAB,BIASA,0,16,6930,11,6930,0,0
MENOPACE,,,,TAB,TAB,BIASA,0,16,4400,11,4400,0,0
MEPROBAL 500MG,,30/10/2026,,TAB,TAB,BIASA,2165,16,0,11,2165,0,395
MEPROSON 4MG,,30/08/2025,,TAB,TAB,BIASA,3053,16,0,11,3053,0,307
MEPTIN 0.05MG,,30/01/2027,,TAB,TAB,BIASA,5110,16,0,11,4823,0,92
MEVACHOL 10,,30/01/2026,,TAB,TAB,BIASA,9990,16,0,11,9990,0,50
MODALIM 100MG,,,,TAB,TAB,BIASA,0,12,13626,11,13626,0,0
MOVIX 15MG,,,,TAB,TAB,BIASA,0,16,11100,11,11100,0,0
"MOVIX 7,5MG",,,,TAB,TAB,BIASA,0,16,6938,11,6938,0,0
MUCOHEXIN ELIXIR SYRUP,,,,FLS,SYR,BIASA,0,16,20294,11,20294,0,0
MUCOHEXIN TABLET 8MG,,,,TAB,TAB,BIASA,0,16,611,11,611,0,0
MUCOS DROP,,31/01/2027,,FLS,SYR,BIASA,38295,16,0,11,38295,0,3
MUCOS SYR,,,,FLS,SYR,BIASA,0,16,18150,11,18150,0,0
MUCOS 30MG,,30/10/2026,,TAB,TAB,BIASA,888,16,0,11,888,0,355
MUCOSTA TAB,,30/05/2027,,TAB,TAB,BIASA,4993,16,0,11,4993,0,68
MYCORAL CR 5GR,,,,TUBE,SLP,BIASA,0,16,16018,11,16018,0,0
MYCORIN CREAM PER 5GRAM,,,,TUBE,SLP,BIASA,0,16,15355,11,15355,0,0
MYORES,,30/04/2026,,TAB,TAB,BIASA,4995,16,0,11,4995,0,132
"NAIRET 2,5MG",,,,TAB,TAB,BIASA,0,16,2220,11,2220,0,0
