"nama","nomor_batch","tanggal_expired","isi1","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"VIT B 12 TAB","","06/01/2025","","TAB","ORAL","","125","25","153","0","125","0.00","0.00"
"TROPICANA SLIM DIAB 100*S","","06/01/2025","","","","","83,250","16","96,570","11","92,408","0.00","1.00"
"MERTIGO 6MG","","04/01/2025","BETAHISTINE","BOX","ORAL","BIASA","4,274","16","4,958","11","4,745","0.00","100.00"
"BREATHY NASAL SPRAY","","04/01/2025","","FL","LUAR","BIASA","97,680","16","113,309","11","108,425","0.00","0.00"
"NABIC (BIC NATRIC)","","03/01/2025","","TAB","ORAL","BIASA","146","25","183","11","162","0.00","200.00"
"ONDANSETRON 4MG","","03/01/2025","TAB","ORAL","","BIASA","1,591","16","1,846","11","1,766","0.00","85.00"
"OMEPRAZOL 20MG","","03/01/2025","","KAPSUL","ORAL","BIASA","833","16","966","11","925","0.00","100.00"
"PIROXICAM 20MG","","03/01/2025","","TAB","ORAL","BIASA","455","25","569","11","505","0.00","50.00"
"RIFAMPICIN 600","","03/01/2025","","TAB","ORAL","BIASA","3,791","25","4,739","11","4,208","0.00","100.00"
"ASAM MEFENAMAT ( MEFENAMID ACID)","","03/01/2025","","TABLET","ORAL","BIASA","596","25","745","11","662","0.00","90.00"
"VALSARTAN 80MG","","03/01/2025","","","","","4,470","16","5,185","11","4,962","0.00","210.00"
"SUMAGESIC 600MG","","03/01/2025","","","","","596","16","691","11","662","0.00","96.00"
"OTSU NS - NACL 500ML","","03/01/2025","","","","","7,555","16","8,764","11","8,386","0.00","0.00"
"ULTRAFIX SACH 5X1","","03/01/2025","","","","","3,708","16","4,301","11","4,115","0.00","5.00"
"LEVOFLOXACIN 500MG","","03/01/2025","","","","","1,445","16","1,676","11","1,603","0.00","50.00"
"RANITIDINE 150MG","","03/01/2025","","","","BIASA","276","16","320","11","306","0.00","100.00"
"ZINC TABLET 20 MG","","03/01/2025","","TABLET","ORAL","BIASA","0","0","764","0","678","0.00","100.00"
"AMLODIPINE 5MG","","02/01/2025","","TAB","ORAL","BIASA","134","25","168","11","149","0.00","180.00"
"METHYLPREDNISOLONE 16MG","","02/01/2025","","","","","0","25","1,307","11","1,160","0.00","120.00"
"MICROLAX","","02/01/2025","","","","","0","16","25,366","11","24,272","0.00","4.00"
"OBH COMBI BP 60ML","","02/01/2025","","FL","SYRUP","BIASA","14,208","16","16,482","11","15,771","0.00","1.00"
"LABORAT LUNAS","","02/01/2025","","","","","1","0","1","0","1","0.00","100.00"
"ALOCLAIR SPRAY","","02/01/2025","","","","","0","16","122,322","11","117,050","0.00","3.00"
"ALOCLAIR PLUS ORAL RINSE","","02/01/2025","","","","","0","16","115,884","11","110,889","0.00","5.00"
"RIZODAL 2MG","","02/01/2025","RISPERIDONE","TAB","ORAL","BIASA","8,880","20","10,656","20","10,656","0.00","100.00"
"PIPET KACA KECIL","","02/01/2025","","PCS","LUAR","BIASA","1,500","16","1,740","11","1,665","0.00","35.00"
"DOMPERIDONE TAB","","02/01/2025","","","","BIASA","222","0","222","0","222","0.00","300.00"
"AMBEVEN PER TAB","","02/01/2025","","KAPSUL","ORAL","BIASA","0","16","1,963","11","1,879","0.00","80.00"
"NIFEDIPINE 10MG","","02/01/2025","","","","","0","25","278","11","246","0.00","300.00"
"AMITRIPTYLIN 25MG","","02/01/2025","","","","","0","20","840","20","840","0.00","200.00"
"COFFEINUM PER GRAM","","02/01/2025","","","","BIASA","0","25","2,000","11","1,776","0.00","100.00"
"VISANNE","","02/01/2025","","BOX","ORAL","BIASA","601,234","16","697,431","11","667,370","0.00","3.00"
"VIT B6 10MG TAB","","01/01/2025","","TAB","ORAL","BIASA","123","25","154","11","137","0.00","0.00"
"GENOINT SLP MATA 0,3","","01/01/2025","","TUBE","LUAR","","9,611","16","11,149","11","10,669","0.00","4.00"
"MELOXICAM 15MG","","01/01/2025","","TAB","ORAL","BIASA","1,210","25","1,513","11","1,343","0.00","131.00"
"MELOXICAM 7,5MG","","01/01/2025","","TAB","ORAL","BIASA","385","25","482","11","428","0.00","219.00"
"DEXAMETHASONE 0,5MG","","01/01/2025","DEXAMETHASONE","TAB","ORAL","BIASA","223","25","279","11","248","0.00","852.00"
"PARACETAMOL 500 MG","","01/01/2025","PARACETAMOL","TAB","ORAL","BIASA","170","25","213","11","189","0.00","433.00"
"LANSOPRAZOLE 30MG","","01/01/2025","","KAPSUL","ORAL","BIASA","1,998","16","2,318","11","2,218","0.00","362.00"
"ABILIVY TAB 10MG","_","00/00/0000","_","_","_","_","51,595","20","61,914","21","62,430","0.00","3.00"
"ABILIVY TAB 5MG","_","00/00/0000","_","_","_","_","28,378","22","34,621","21","34,337","0.00","-10.00"
"AB-VASK 10MG","_","00/00/0000","_","_","_","_","13,875","16","16,095","11","15,401","0.00","50.00"
"AB-VASK 5MG","_","00/00/0000","_","_","_","_","7,770","16","9,013","11","8,625","0.00","85.00"
"AFAMED 320MG","_","00/00/0000","_","_","_","_","8,880","16","10,301","11","9,857","0.00","-1.00"
"AGREZOL 50MG TABLET","_","00/00/0000","_","_","_","_","6,380","16","7,401","11","7,082","0.00","0.00"
"ALABETIC CAPS","_","00/00/0000","_","_","_","_","4,400","16","5,104","11","4,884","0.00","-1.00"
"ALCO DROP","_","00/00/0000","_","_","_","_","106,061","16","123,031","11","117,728","0.00","0.00"
"ALGANAX 0,5MG","_","00/00/0000","_","_","_","_","3,885","25","4,856","25","4,856","0.00","296.00"
"ALGANAX 1MG","_","00/00/0000","_","_","_","_","5,994","25","7,493","25","7,493","0.00","529.00"
"ALINAMIN F TABLET","_","00/00/0000","_","_","_","_","1,320","16","1,531","11","1,465","0.00","0.00"
"ALOCLAIR PLUS 8ML GEL","_","00/00/0000","_","_","_","_","94,350","16","109,446","11","104,729","0.00","0.00"
"AMADIAB 1","_","00/00/0000","_","_","_","_","3,552","16","4,120","11","3,943","0.00","55.00"
"AMADIAB 2","_","00/00/0000","_","_","_","_","6,105","16","7,082","11","6,777","0.00","97.00"
"AMADIAB 3","_","00/00/0000","_","_","_","_","7,548","16","8,756","11","8,378","0.00","37.00"
"AMADIAB 4","_","00/00/0000","_","_","_","_","9,102","16","10,558","11","10,103","0.00","105.00"
"AMARYL 1MG","_","00/00/0000","_","_","_","_","3,668","16","4,255","11","4,071","0.00","0.00"
"AMARYL 2MG","_","00/00/0000","_","_","_","_","7,231","16","8,388","11","8,026","0.00","0.00"
"AMARYL 3MG","_","00/00/0000","_","_","_","_","8,556","16","9,925","11","9,497","0.00","0.00"
"AMARYL 4MG","_","00/00/0000","_","_","_","_","9,757","16","11,318","11","10,830","0.00","0.00"
"AMARYL M 1MG","_","00/00/0000","_","_","_","_","4,705","16","5,458","11","5,223","0.00","0.00"
"AMARYL M 2MG","_","00/00/0000","_","_","_","_","8,751","16","10,151","11","9,714","0.00","25.00"
"AMLODIPINE 10MG","_","00/00/0000","_","_","_","_","171","25","214","11","190","0.00","0.00"
"AMOXSAN 500MG","_","00/00/0000","_","_","_","_","3,663","16","4,249","11","4,066","0.00","28.00"
"ANALSIK TABLET","_","00/00/0000","_","_","_","_","1,943","25","2,429","25","2,429","0.00","197.00"
"ANALTRAM","_","00/00/0000","_","_","_","_","10,823","16","12,555","11","12,014","0.00","55.00"
"ANGINTRIZ MR 35MG","_","00/00/0000","_","_","_","_","3,700","16","4,292","11","4,107","0.00","109.00"
"APIALYS DROP","_","00/00/0000","_","_","_","_","52,725","16","61,161","11","58,525","0.00","2.00"
"APIALYS SYRUP","_","00/00/0000","_","_","_","_","44,400","16","51,504","11","49,284","0.00","3.00"
"ARCAPEC SYR","_","00/00/0000","_","_","_","_","20,535","16","23,821","11","22,794","0.00","15.00"
"ARKINE 2MG","_","00/00/0000","_","_","_","_","1,027","20","1,232","20","1,232","0.00","9,010.00"
"ASTHIN FORCE 4MG","_","00/00/0000","_","_","_","_","7,639","16","8,861","11","8,479","0.00","0.00"
"AVAMYS NASAL SPRAY","_","00/00/0000","_","_","_","_","267,044","16","309,771","11","296,419","0.00","3.00"
"BACTROBAN CR KECIL","_","00/00/0000","_","_","_","_","38,500","16","44,660","11","42,735","0.00","0.00"
"BAQUINOR F","_","00/00/0000","_","_","_","_","15,429","16","17,898","11","17,126","0.00","77.00"
"BATUGIN ELIXIR 120ML","_","00/00/0000","_","_","_","_","20,351","16","23,607","11","22,590","0.00","0.00"
"B-BETA 5MG","_","00/00/0000","_","_","_","_","7,770","16","9,013","11","8,625","0.00","35.00"
"BECOM C","_","00/00/0000","_","_","_","_","1,887","16","2,189","11","2,095","0.00","159.00"
"BECOM ZET","_","00/00/0000","_","_","_","_","2,498","16","2,898","11","2,773","0.00","77.00"
"BENOSON N CREAM","_","00/00/0000","_","_","_","_","20,535","16","23,821","11","22,794","0.00","0.00"
"BERRY VISION DISPERB","_","00/00/0000","_","_","_","_","2,609","16","3,026","11","2,896","0.00","85.00"
"BERRY VISION TABLET","_","00/00/0000","_","_","_","_","3,885","16","4,507","11","4,312","0.00","0.00"
"BETASON N CREAM","_","00/00/0000","_","_","_","_","18,315","16","21,245","11","20,330","0.00","0.00"
"BIOCOMBIN KAPLET","_","00/00/0000","_","_","_","_","1,610","16","1,868","11","1,787","0.00","221.00"
"BIOFOS SYR","_","00/00/0000","_","_","_","_","63,825","16","74,037","11","70,846","0.00","5.00"
"BIOLYSIN SYR 100 ML","_","00/00/0000","_","_","_","_","14,520","15","16,698","11","16,117","0.00","0.00"
"BIOLYSIN SYR 60 ML","_","00/00/0000","_","_","_","_","12,210","16","14,164","11","13,553","0.00","0.00"
"BIOLYSIN KIDS (ALL VAR)","_","00/00/0000","_","_","_","_","15,540","16","18,026","11","17,249","0.00","0.00"
"BIOLYSIN SMART 100 ML","_","00/00/0000","_","_","_","_","16,500","15","18,975","11","18,315","0.00","0.00"
"BIOLYSIN SMART 60 ML","_","00/00/0000","_","_","_","_","12,650","16","14,674","11","14,042","0.00","0.00"
"BIOPLACENTON SALEP","_","00/00/0000","_","_","_","_","28,860","16","33,478","11","32,035","0.00","2.00"
"BRALIFEX 0.3% TM","_","00/00/0000","_","_","_","_","41,126","16","47,706","11","45,650","0.00","2.00"
"BRALIFEX PLUS TM","_","00/00/0000","_","_","_","_","56,888","16","65,990","11","63,146","0.00","6.00"
"BRAXIDIN","_","00/00/0000","_","_","_","_","1,443","25","1,804","25","1,804","0.00","832.00"
"BREATHY TETES HIDUNG","_","00/00/0000","_","_","_","_","41,625","16","48,285","11","46,204","0.00","1.00"
"CAL-95","_","00/00/0000","_","_","_","_","7,215","16","8,369","11","8,009","0.00","175.00"
"CANDESARTAN 8MG","_","00/00/0000","_","_","_","_","415","25","519","11","461","0.00","420.00"
"CARDICAP 10MG","_","00/00/0000","_","_","_","_","12,321","16","14,292","11","13,676","0.00","90.00"
"CARDICAP 5MG","_","00/00/0000","_","_","_","_","7,104","16","8,241","11","7,885","0.00","70.00"
"CEFACEF 100MG","_","00/00/0000","_","_","_","_","23,532","16","27,297","11","26,121","0.00","52.00"
"CEFILA 100MG","_","00/00/0000","_","_","_","_","25,530","16","29,615","11","28,338","0.00","35.00"
"CEFILA DROP (DS)","_","00/00/0000","_","_","_","_","105,450","16","122,322","11","117,050","0.00","7.00"
"CEFSPAN 100MG","_","00/00/0000","_","_","_","_","29,045","16","33,692","11","32,240","0.00","0.00"
"CELESTAMINE 30*S","_","00/00/0000","_","_","_","_","3,963","16","4,597","11","4,399","0.00","0.00"
"CENDO STATROL EO","_","00/00/0000","_","_","_","_","20,075","16","23,287","11","22,283","0.00","0.00"
"CENDO TGF TAB","_","00/00/0000","_","_","_","_","5,821","16","6,752","11","6,461","0.00","0.00"
"CENDO TIMOL 0,5%","_","00/00/0000","_","_","_","_","53,003","16","61,483","11","58,833","0.00","0.00"
"CENDO TIMOL 0,25%","_","00/00/0000","_","_","_","_","33,855","16","39,272","11","37,579","0.00","3.00"
"CENDO TOBRO MDS","_","00/00/0000","_","_","_","_","21,229","16","24,626","11","23,564","0.00","0.00"
"CENDO TOBROSON 5ML","_","00/00/0000","_","_","_","_","51,338","16","59,552","11","56,985","0.00","0.00"
"CENDO TOBROSON MDS","_","00/00/0000","_","_","_","_","32,190","16","37,340","11","35,731","0.00","0.00"
"CENDO TONOR 0,5% MDS","_","00/00/0000","_","_","_","_","42,291","16","49,058","11","46,943","0.00","0.00"
"CENDO TROPIN 0.5%","_","00/00/0000","_","_","_","_","12,488","16","14,486","11","13,862","0.00","0.00"
"CENDO TROPIN 1%","_","00/00/0000","_","_","_","_","13,875","16","16,095","11","15,401","0.00","1.00"
"CENDO ULCORI MDS","_","00/00/0000","_","_","_","_","21,784","16","25,269","11","24,180","0.00","0.00"
"CENDO VASACON 15ML","_","00/00/0000","_","_","_","_","17,875","16","20,735","11","19,841","0.00","0.00"
"CENDO VASACON A 15ML","_","00/00/0000","_","_","_","_","24,837","16","28,811","11","27,569","0.00","0.00"
"CENDO VERNACEL MDS","_","00/00/0000","_","_","_","_","22,825","16","26,477","11","25,336","0.00","0.00"
"CENDO VITROLENTA 5ML","_","00/00/0000","_","_","_","_","36,353","16","42,169","11","40,352","0.00","0.00"
"CENDO VITROLENTA MDS","_","00/00/0000","_","_","_","_","31,488","16","36,526","11","34,952","0.00","0.00"
"CENDO XITROL ED","_","00/00/0000","_","_","_","_","30,248","16","35,088","11","33,575","0.00","2.00"
"CENDO XITROL EO","_","00/00/0000","_","_","_","_","39,822","16","46,194","11","44,202","0.00","2.00"
"CENDO XITROL MDS","_","00/00/0000","_","_","_","_","27,057","16","31,386","11","30,033","0.00","0.00"
"CENDO ZINC PRIMA 5ML","_","00/00/0000","_","_","_","_","14,580","16","16,913","11","16,184","0.00","0.00"
"CENTABIO GEL 20","_","00/00/0000","_","_","_","_","28,194","16","32,705","11","31,295","0.00","0.00"
"CHOLVASTIN 20MG","_","00/00/0000","_","_","_","_","12,710","16","14,744","11","14,108","0.00","75.00"
"CIFLOS 500","_","00/00/0000","_","_","_","_","14,985","16","17,383","11","16,633","0.00","0.00"
"CINOLON CREAM","_","00/00/0000","_","_","_","_","20,091","16","23,306","11","22,301","0.00","0.00"
"CIPRALEX 10MG","_","00/00/0000","_","_","_","_","20,625","20","24,750","20","24,750","0.00","0.00"
"CIPREC 500MG","_","00/00/0000","_","_","_","_","16,095","16","18,670","11","17,865","0.00","3.00"
"CLANEKSI DRY SYRUP","_","00/00/0000","_","_","_","_","64,991","16","75,390","11","72,140","0.00","3.00"
"CLINJOS 150MG","_","00/00/0000","_","_","_","_","3,885","16","4,507","11","4,312","0.00","92.00"
"CLINJOS 300MG ","_","00/00/0000","_","_","_","_","7,493","16","8,692","11","8,317","0.00","45.00"
"CLOBAZAM 10MG","_","00/00/0000","_","_","_","_","1,045","22","1,275","21","1,264","0.00","0.00"
"CLOGIN 75MG","_","00/00/0000","_","_","_","_","22,200","16","25,752","11","24,642","0.00","100.00"
"COBAZYM 1000","_","00/00/0000","_","_","_","_","5,856","16","6,793","11","6,500","0.00","75.00"
"COBAZYM 3000","_","00/00/0000","_","_","_","_","13,487","16","15,645","11","14,971","0.00","0.00"
"CORTIDEX TAB","_","00/00/0000","_","_","_","_","389","16","451","11","432","0.00","0.00"
"COTTEN LICAPS 30*S","_","00/00/0000","_","_","_","_","6,875","16","7,975","11","7,631","0.00","0.00"
"CRAVOX 500MG","_","00/00/0000","_","_","_","_","49,950","16","57,942","11","55,445","0.00","1.00"
"DANALGIN TAB","_","00/00/0000","_","_","_","_","1,155","22","1,409","21","1,398","0.00","0.00"
"DAY CAL TAB","_","00/00/0000","_","_","_","_","2,220","16","2,575","11","2,464","0.00","0.00"
"DEOLIT 250MG","_","00/00/0000","_","_","_","_","9,435","16","10,945","11","10,473","0.00","55.00"
"DEPTRAL 50MG TABLET","_","00/00/0000","_","_","_","_","12,100","12","13,552","11","13,431","0.00","0.00"
"DIGENTA CREAM 10GR","_","00/00/0000","_","_","_","_","115,385","16","133,847","11","128,077","0.00","0.00"
"DILMEN 60MG","_","00/00/0000","_","_","_","_","1,221","16","1,416","11","1,355","0.00","0.00"
"DIOSTE","_","00/00/0000","_","_","_","_","12,210","16","14,164","11","13,553","0.00","185.00"
"DIPROSALIC SALEP KEC","_","00/00/0000","_","_","_","_","88,512","16","102,674","11","98,248","0.00","0.00"
"DOM SYRUP","_","00/00/0000","_","_","_","_","50,600","16","58,696","11","56,166","0.00","0.00"
"DOM 10MG","_","00/00/0000","_","_","_","_","4,995","16","5,794","11","5,544","0.00","1.00"
"ELKANA CL 120ML","_","00/00/0000","_","_","_","_","61,161","16","70,947","11","67,889","0.00","0.00"
"ELKANA SYR","_","00/00/0000","_","_","_","_","27,639","16","32,061","11","30,679","0.00","0.00"
"ELKANA TABLET","_","00/00/0000","_","_","_","_","999","16","1,159","11","1,109","0.00","0.00"
"ELOCON CR 5GR","_","00/00/0000","_","_","_","_","70,950","16","82,302","11","78,755","0.00","0.00"
"EPATIN","_","00/00/0000","_","_","_","_","4,995","16","5,794","11","5,544","0.00","27.00"
"EPEXOL 30MG","_","00/00/0000","_","_","_","_","1,027","16","1,191","11","1,140","0.00","81.00"
"EPEXOL SYR","_","00/00/0000","_","_","_","_","21,201","16","24,593","11","23,533","0.00","0.00"
"ERICAF TABLET","_","00/00/0000","_","_","_","_","6,260","16","7,262","11","6,949","0.00","208.00"
"ERYSANBE CHEW 200MG","_","00/00/0000","_","_","_","_","2,220","16","2,575","11","2,464","0.00","421.00"
"ERYSANBE DRY SYR","","00/00/0000","","","","","0","0","0","0","0","0.00","0.00"
"ESCOVIT","_","00/00/0000","_","_","_","_","10,878","16","12,618","11","12,075","0.00","89.00"
"ESPERSON 0.25% 5GRAM","_","00/00/0000","_","_","_","_","58,408","16","67,753","11","64,833","0.00","0.00"
"ETUROL","_","00/00/0000","_","_","_","_","6,660","16","7,726","11","7,393","0.00","165.00"
"EXAFLAM 25","_","00/00/0000","_","_","_","_","1,998","16","2,318","11","2,218","0.00","0.00"
"EXAFLAM 50","_","00/00/0000","_","_","_","_","3,108","16","3,605","11","3,450","0.00","0.00"
"EXLUTON LIMAS","_","00/00/0000","_","_","_","_","25,600","16","29,696","11","28,416","0.00","0.00"
"EYEVIT SYR 60ML","_","00/00/0000","_","_","_","_","61,050","16","70,818","11","67,766","0.00","0.00"
"EYEVIT TAB","_","00/00/0000","_","_","_","_","4,995","16","5,794","11","5,544","0.00","39.00"
"EZYGARD FORTE TAB","_","00/00/0000","_","_","_","_","7,040","16","8,166","11","7,814","0.00","0.00"
"EZYGARD SYR 60ML","_","00/00/0000","_","_","_","_","69,300","16","80,388","11","76,923","0.00","0.00"
"FAKTU SUPPO","_","00/00/0000","_","_","_","_","9,990","16","11,588","11","11,089","0.00","10.00"
"FEMISIC 500MG","_","00/00/0000","_","_","_","_","1,665","16","1,931","11","1,848","0.00","339.00"
"FENOLIP 100MG","_","00/00/0000","_","_","_","_","4,400","16","5,104","11","4,884","0.00","0.00"
"FENOLIP 300MG","_","00/00/0000","_","_","_","_","11,000","16","12,760","11","12,210","0.00","0.00"
"FEROSPAT EFF","_","00/00/0000","_","_","_","_","83,250","16","96,570","11","92,408","0.00","0.00"
"FLAGYL FORTE 500MG","_","00/00/0000","_","_","_","_","8,075","16","9,367","11","8,963","0.00","0.00"
"FLAMAR GEL 20GR","_","00/00/0000","_","_","_","_","20,091","16","23,306","11","22,301","0.00","0.00"
"FLAMAR 25MG","_","00/00/0000","_","_","_","_","1,027","16","1,191","11","1,140","0.00","79.00"
"FLAMAR 50MG","_","00/00/0000","_","_","_","_","2,220","16","2,575","11","2,464","0.00","552.00"
"FLEET ENEMA","_","00/00/0000","_","_","_","_","108,225","16","125,541","11","120,130","0.00","0.00"
"FLORAGYN KAPSUL","_","00/00/0000","_","_","_","_","16,650","16","19,314","11","18,482","0.00","65.00"
"FLOXACAP 500MG","_","00/00/0000","_","_","_","_","42,513","16","49,315","11","47,189","0.00","59.00"
"FOLAPLUS","_","00/00/0000","_","_","_","_","944","16","1,095","11","1,048","0.00","423.00"
"FORBETES 850MG","_","00/00/0000","_","_","_","_","1,332","16","1,545","11","1,479","0.00","140.00"
"FORMYCO CREAM","_","00/00/0000","_","_","_","_","22,644","16","26,267","11","25,135","0.00","2.00"
"FORUMEN TTS TLG","_","00/00/0000","_","_","_","_","32,079","16","37,212","11","35,608","0.00","3.00"
"FRIXITAS 1MG ","_","00/00/0000","_","_","_","_","5,328","25","6,660","25","6,660","0.00","0.00"
"FUCOBAC 50MG","_","00/00/0000","_","_","_","_","8,325","16","9,657","11","9,241","0.00","0.00"
"FULADIC CR 5GR","_","00/00/0000","_","_","_","_","61,050","16","70,818","11","67,766","0.00","0.00"
"FUSON CR 5GR","_","00/00/0000","_","_","_","_","66,600","16","77,256","11","73,926","0.00","0.00"
"GABBRYL 250MG TAB","_","00/00/0000","_","_","_","_","4,584","16","5,317","11","5,088","0.00","0.00"
"GALFLUX","_","00/00/0000","_","_","_","_","4,290","16","4,976","11","4,762","0.00","0.00"
"GALVUS 50MG","_","00/00/0000","_","_","_","_","8,621","16","10,000","11","9,569","0.00","162.00"
"GASFAMIN 20MG","_","00/00/0000","_","_","_","_","3,300","16","3,828","11","3,663","0.00","0.00"
"GASFAMIN 40MG","_","00/00/0000","_","_","_","_","4,950","16","5,742","11","5,495","0.00","0.00"
"GAVISTAL 10MG","_","00/00/0000","_","_","_","_","500","16","580","11","555","0.00","217.00"
"GITAS PLUS","_","00/00/0000","_","_","_","_","8,450","16","9,802","11","9,380","0.00","95.00"
"GLAUSETA","_","00/00/0000","_","_","_","_","5,354","16","6,211","11","5,943","0.00","112.00"
"GLIMEPIRIDE 1MG","_","00/00/0000","_","_","_","_","767","16","890","11","851","0.00","33.00"
"GLISODIN","_","00/00/0000","_","_","_","_","8,880","16","10,301","11","9,857","0.00","0.00"
"GLUCOBAY 100MG","_","00/00/0000","_","_","_","_","3,291","16","3,818","11","3,653","0.00","0.00"
"GRATIZIN 5MG","_","00/00/0000","_","_","_","_","5,717","16","6,632","11","6,346","0.00","467.00"
"GUARPOSID 5MG","_","00/00/0000","_","_","_","_","3,885","16","4,507","11","4,312","0.00","311.00"
"HARNAL D 0,2MG","_","00/00/0000","_","_","_","_","17,550","16","20,358","11","19,481","0.00","42.00"
"HEPATOSOL 185GR","_","00/00/0000","_","_","_","_","87,450","16","101,442","11","97,070","0.00","0.00"
"HEPTASAN 4MG","_","00/00/0000","_","_","_","_","472","16","548","11","524","0.00","261.00"
"HERBALACTA BTL","_","00/00/0000","_","_","_","_","1,634","16","1,895","11","1,814","0.00","0.00"
"HEXYMER 2MG","_","00/00/0000","_","_","_","_","472","20","566","20","566","0.00","1,862.00"
"HISTAPAN 50MG","_","00/00/0000","_","_","_","_","861","16","999","11","956","0.00","213.00"
"IFLAZ TABLET 16MG","_","00/00/0000","_","_","_","_","5,867","16","6,806","11","6,512","0.00","0.00"
"IFLAZ TABLET 4MG","_","00/00/0000","_","_","_","_","2,002","16","2,322","11","2,222","0.00","0.00"
"IMBOOST KIDS SYR 60ML","_","00/00/0000","_","_","_","_","37,185","16","43,135","11","41,275","0.00","1.00"
"IMUNOS PLUS SYRUP","_","00/00/0000","_","_","_","_","116,550","16","135,198","11","129,371","0.00","6.00"
"IMUNOS PLUS TAB","_","00/00/0000","_","_","_","_","13,320","16","15,451","11","14,785","0.00","12.00"
"IMUNOS SYRUP","_","00/00/0000","_","_","_","_","83,250","16","96,570","11","92,408","0.00","11.00"
"IMUNOS TAB","_","00/00/0000","_","_","_","_","11,100","16","12,876","11","12,321","0.00","87.00"
"INERSON 15GR","_","00/00/0000","_","_","_","_","110,168","16","127,795","11","122,286","0.00","3.00"
"INTERHISTIN SYRUP","_","00/00/0000","_","_","_","_","53,031","16","61,516","11","58,864","0.00","0.00"
"INTERHISTIN TAB","_","00/00/0000","_","_","_","_","1,133","16","1,314","11","1,258","0.00","133.00"
"INTERNOLOL 50","_","00/00/0000","_","_","_","_","4,662","16","5,408","11","5,175","0.00","170.00"
"INTERPRIL 10","_","00/00/0000","_","_","_","_","1,332","16","1,545","11","1,479","0.00","75.00"
"INTERPRIL 5","_","00/00/0000","_","_","_","_","4,341","16","5,036","11","4,819","0.00","108.00"
"INTERVASK 10MG","_","00/00/0000","_","_","_","_","16,817","16","19,508","11","18,667","0.00","180.00"
"INTUNAL PER STRIP","_","00/00/0000","_","_","_","_","2,553","16","2,961","11","2,834","0.00","92.00"
"INVOMIT 4MG","_","00/00/0000","_","_","_","_","23,019","16","26,702","11","25,551","0.00","104.00"
"IRVASK 300MG","_","00/00/0000","_","_","_","_","20,147","16","23,371","11","22,363","0.00","78.00"
"ISOFEM","_","00/00/0000","_","_","_","_","3,850","16","4,466","11","4,274","0.00","0.00"
"ISORIC 100MG","_","00/00/0000","_","_","_","_","2,886","16","3,348","11","3,203","0.00","157.00"
"ISORIC 300MG","_","00/00/0000","_","_","_","_","5,439","16","6,309","11","6,037","0.00","396.00"
"ISPRINOL 500MG","_","00/00/0000","_","_","_","_","10,927","16","12,675","11","12,129","0.00","0.00"
"ITZOL 100MG","_","00/00/0000","_","_","_","_","27,750","16","32,190","11","30,803","0.00","0.00"
"KALIPAR TAB","_","00/00/0000","_","_","_","_","700","16","812","11","777","0.00","0.00"
"KALMECO 500MCG","_","00/00/0000","_","_","_","_","3,885","16","4,507","11","4,312","0.00","186.00"
"KALXETIN 20MG","_","00/00/0000","_","_","_","_","9,435","20","11,322","20","11,322","0.00","0.00"
